"covariate","mean","95% CI","species"
"Shrub scrub",4128,"1069-45922","American Crow"
"Grassland herbaceous",3108,"50-33690","American Crow"
"Pasture hay",11263,"50-50000","American Crow"
"Developed low intensity",17380,"1069-50000","American Dipper"
"Cultivated crop",19418,"50-50000","American Dipper"
"Woody wetland",15341,"50-50000","American Dipper"
"Emergent wetland",19418,"50-50000","American Dipper"
"Ocean",19418,"50-50000","American Dipper"
"Lakes",19418,"50-50000","American Dipper"
"Rivers",19418,"50-50000","American Dipper"
"Elevation",17380,"50-50000","American Dipper"
"Aspect",19418,"1069-50000","American Dipper"
"Slope",10244,"1069-47961","American Dipper"
"Precipitation",20000,"1000-50000","American Dipper"
"Developed high intensity",19418,"50-50000","American Dipper"
"Max temperature",24000,"2000-50000","American Dipper"
"Barren land",19418,"50-50000","American Dipper"
"Deciduous forest",11263,"1069-47961","American Dipper"
"Evergreen forest",15341,"1069-50000","American Dipper"
"Mixed forest",13302,"1069-47961","American Dipper"
"Shrub scrub",21457,"50-50000","American Dipper"
"Grassland herbaceous",21457,"50-50000","American Dipper"
"Pasture hay",19418,"50-50000","American Dipper"
"Developed low intensity",11263,"6166-29612","American Goldfinch"
"Cultivated crop",35729,"13302-50000","American Goldfinch"
"Woody wetland",9224,"1069-47961","American Goldfinch"
"Emergent wetland",5147,"1069-29612","American Goldfinch"
"Ocean",7186,"4128-19418","American Goldfinch"
"Lakes",8205,"1069-43884","American Goldfinch"
"Rivers",29612,"2089-50000","American Goldfinch"
"Elevation",4128,"50-23496","American Goldfinch"
"Aspect",10244,"50-43884","American Goldfinch"
"Slope",5147,"1069-47961","American Goldfinch"
"Precipitation",42000,"12000-50000","American Goldfinch"
"Developed high intensity",4128,"50-11263","American Goldfinch"
"Max temperature",7000,"1000-44000","American Goldfinch"
"Barren land",25535,"50-50000","American Goldfinch"
"Deciduous forest",7186,"1069-35729","American Goldfinch"
"Evergreen forest",1069,"1069-2089","American Goldfinch"
"Mixed forest",19418,"1069-50000","American Goldfinch"
"Shrub scrub",35729,"8205-50000","American Goldfinch"
"Grassland herbaceous",15341,"50-50000","American Goldfinch"
"Pasture hay",1069,"50-1069","American Goldfinch"
"Developed low intensity",9224,"50-47961","American Kestrel"
"Cultivated crop",9224,"50-47961","American Kestrel"
"Woody wetland",19418,"1069-50000","American Kestrel"
"Emergent wetland",11263,"50-47961","American Kestrel"
"Ocean",33690,"1069-50000","American Kestrel"
"Lakes",19418,"1069-50000","American Kestrel"
"Rivers",19418,"50-50000","American Kestrel"
"Elevation",23496,"1069-50000","American Kestrel"
"Aspect",25535,"50-50000","American Kestrel"
"Slope",19418,"1069-50000","American Kestrel"
"Precipitation",20000,"1000-50000","American Kestrel"
"Developed high intensity",23496,"50-50000","American Kestrel"
"Max temperature",14000,"1000-48000","American Kestrel"
"Barren land",15341,"50-50000","American Kestrel"
"Deciduous forest",5147,"50-45922","American Kestrel"
"Evergreen forest",8205,"50-43884","American Kestrel"
"Mixed forest",7186,"50-43884","American Kestrel"
"Shrub scrub",5147,"50-37767","American Kestrel"
"Grassland herbaceous",2089,"50-33690","American Kestrel"
"Pasture hay",1069,"50-6166","American Kestrel"
"Developed low intensity",1069,"1069-2089","American Redstart"
"Cultivated crop",1069,"50-1069","American Redstart"
"Woody wetland",5147,"50-43884","American Redstart"
"Emergent wetland",37767,"13302-50000","American Redstart"
"Ocean",29612,"3108-50000","American Redstart"
"Lakes",37767,"4128-50000","American Redstart"
"Rivers",1069,"1069-3108","American Redstart"
"Elevation",11263,"50-47961","American Redstart"
"Aspect",25535,"1069-50000","American Redstart"
"Slope",13302,"50-47961","American Redstart"
"Precipitation",9000,"1000-46000","American Redstart"
"Developed high intensity",41845,"27573-50000","American Redstart"
"Max temperature",42000,"22000-50000","American Redstart"
"Barren land",15341,"50-47961","American Redstart"
"Deciduous forest",1069,"1069-1069","American Redstart"
"Evergreen forest",17380,"50-50000","American Redstart"
"Mixed forest",27573,"10244-47961","American Redstart"
"Shrub scrub",10244,"50-47961","American Redstart"
"Grassland herbaceous",33690,"4128-50000","American Redstart"
"Pasture hay",7186,"50-43884","American Redstart"
"Developed low intensity",1069,"1069-1069","American Robin"
"Cultivated crop",19418,"1069-50000","American Robin"
"Woody wetland",11263,"50-47961","American Robin"
"Emergent wetland",8205,"4128-47961","American Robin"
"Ocean",21457,"1069-50000","American Robin"
"Lakes",33690,"2089-50000","American Robin"
"Rivers",45922,"21457-50000","American Robin"
"Elevation",13302,"2089-47961","American Robin"
"Aspect",45922,"31651-50000","American Robin"
"Slope",6166,"1069-27573","American Robin"
"Precipitation",12000,"1000-50000","American Robin"
"Developed high intensity",50,"50-50","American Robin"
"Max temperature",48000,"40000-50000","American Robin"
"Barren land",2089,"50-37767","American Robin"
"Deciduous forest",5147,"3108-8205","American Robin"
"Evergreen forest",43884,"29612-50000","American Robin"
"Mixed forest",39806,"19418-50000","American Robin"
"Shrub scrub",5147,"1069-9224","American Robin"
"Grassland herbaceous",1069,"1069-1069","American Robin"
"Pasture hay",50,"50-50","American Robin"
"Developed low intensity",15341,"50-47961","American White Pelican"
"Cultivated crop",31651,"6166-50000","American White Pelican"
"Woody wetland",13302,"1069-45922","American White Pelican"
"Emergent wetland",1069,"1069-3108","American White Pelican"
"Ocean",23496,"1069-50000","American White Pelican"
"Lakes",1069,"1069-1069","American White Pelican"
"Rivers",2089,"50-5147","American White Pelican"
"Elevation",23496,"1069-50000","American White Pelican"
"Aspect",7186,"50-47961","American White Pelican"
"Slope",4128,"50-47961","American White Pelican"
"Precipitation",20000,"1000-50000","American White Pelican"
"Developed high intensity",11263,"50-47961","American White Pelican"
"Max temperature",24000,"1000-50000","American White Pelican"
"Barren land",11263,"1069-47961","American White Pelican"
"Deciduous forest",7186,"50-47961","American White Pelican"
"Evergreen forest",21457,"1069-47961","American White Pelican"
"Mixed forest",13302,"1069-50000","American White Pelican"
"Shrub scrub",11263,"1069-47961","American White Pelican"
"Grassland herbaceous",23496,"1069-50000","American White Pelican"
"Pasture hay",19418,"50-50000","American White Pelican"
"Developed low intensity",17380,"1069-50000","American Wigeon"
"Cultivated crop",17380,"1069-50000","American Wigeon"
"Woody wetland",19418,"50-50000","American Wigeon"
"Emergent wetland",19418,"50-50000","American Wigeon"
"Ocean",21457,"50-50000","American Wigeon"
"Lakes",19418,"1069-50000","American Wigeon"
"Rivers",19418,"50-50000","American Wigeon"
"Elevation",21457,"50-50000","American Wigeon"
"Aspect",21457,"1069-50000","American Wigeon"
"Slope",17380,"1069-50000","American Wigeon"
"Precipitation",20000,"1000-50000","American Wigeon"
"Developed high intensity",19418,"50-50000","American Wigeon"
"Max temperature",18000,"1000-50000","American Wigeon"
"Barren land",19418,"50-50000","American Wigeon"
"Deciduous forest",19418,"50-50000","American Wigeon"
"Evergreen forest",19418,"50-50000","American Wigeon"
"Mixed forest",19418,"50-50000","American Wigeon"
"Shrub scrub",13302,"1069-47961","American Wigeon"
"Grassland herbaceous",8205,"1069-47961","American Wigeon"
"Pasture hay",19418,"50-50000","American Wigeon"
"Developed low intensity",21457,"50-50000","Anhinga"
"Cultivated crop",19418,"50-50000","Anhinga"
"Woody wetland",21457,"1069-50000","Anhinga"
"Emergent wetland",50,"50-50","Anhinga"
"Ocean",23496,"1069-50000","Anhinga"
"Lakes",7186,"50-43884","Anhinga"
"Rivers",29612,"50-50000","Anhinga"
"Elevation",17380,"50-50000","Anhinga"
"Aspect",27573,"50-50000","Anhinga"
"Slope",19418,"50-50000","Anhinga"
"Precipitation",20000,"1000-50000","Anhinga"
"Developed high intensity",21457,"1069-50000","Anhinga"
"Max temperature",20000,"1000-50000","Anhinga"
"Barren land",19418,"50-47961","Anhinga"
"Deciduous forest",21457,"50-50000","Anhinga"
"Evergreen forest",15341,"50-50000","Anhinga"
"Mixed forest",21457,"50-50000","Anhinga"
"Shrub scrub",9224,"1069-47961","Anhinga"
"Grassland herbaceous",19418,"1069-50000","Anhinga"
"Pasture hay",21457,"50-50000","Anhinga"
"Developed low intensity",1069,"1069-3108","Anna's Hummingbird"
"Cultivated crop",13302,"50-43884","Anna's Hummingbird"
"Woody wetland",43884,"29612-50000","Anna's Hummingbird"
"Emergent wetland",8205,"1069-47961","Anna's Hummingbird"
"Ocean",19418,"1069-50000","Anna's Hummingbird"
"Lakes",35729,"3108-50000","Anna's Hummingbird"
"Rivers",9224,"50-45922","Anna's Hummingbird"
"Elevation",23496,"50-50000","Anna's Hummingbird"
"Aspect",11263,"1069-47961","Anna's Hummingbird"
"Slope",7186,"1069-43884","Anna's Hummingbird"
"Precipitation",16000,"1000-48000","Anna's Hummingbird"
"Developed high intensity",39806,"7186-50000","Anna's Hummingbird"
"Max temperature",24000,"3000-48000","Anna's Hummingbird"
"Barren land",9224,"1069-43884","Anna's Hummingbird"
"Deciduous forest",35729,"6166-50000","Anna's Hummingbird"
"Evergreen forest",7186,"4128-13302","Anna's Hummingbird"
"Mixed forest",23496,"4128-47961","Anna's Hummingbird"
"Shrub scrub",29612,"5147-47961","Anna's Hummingbird"
"Grassland herbaceous",19418,"2089-50000","Anna's Hummingbird"
"Pasture hay",33690,"4128-50000","Anna's Hummingbird"
"Developed low intensity",3108,"50-13302","Ash-throated Flycatcher"
"Cultivated crop",23496,"4128-50000","Ash-throated Flycatcher"
"Woody wetland",27573,"50-50000","Ash-throated Flycatcher"
"Emergent wetland",23496,"1069-50000","Ash-throated Flycatcher"
"Ocean",15341,"50-47961","Ash-throated Flycatcher"
"Lakes",37767,"2089-50000","Ash-throated Flycatcher"
"Rivers",25535,"1069-50000","Ash-throated Flycatcher"
"Elevation",23496,"50-50000","Ash-throated Flycatcher"
"Aspect",13302,"4128-37767","Ash-throated Flycatcher"
"Slope",5147,"1069-27573","Ash-throated Flycatcher"
"Precipitation",18000,"1000-50000","Ash-throated Flycatcher"
"Developed high intensity",7186,"50-43884","Ash-throated Flycatcher"
"Max temperature",11000,"3000-30000","Ash-throated Flycatcher"
"Barren land",15341,"1069-47961","Ash-throated Flycatcher"
"Deciduous forest",33690,"4128-50000","Ash-throated Flycatcher"
"Evergreen forest",17380,"2089-45922","Ash-throated Flycatcher"
"Mixed forest",37767,"6166-50000","Ash-throated Flycatcher"
"Shrub scrub",1069,"50-27573","Ash-throated Flycatcher"
"Grassland herbaceous",23496,"3108-47961","Ash-throated Flycatcher"
"Pasture hay",23496,"1069-50000","Ash-throated Flycatcher"
"Developed low intensity",13302,"50-47961","Bachman's Sparrow"
"Cultivated crop",21457,"1069-47961","Bachman's Sparrow"
"Woody wetland",15341,"50-47961","Bachman's Sparrow"
"Emergent wetland",17380,"1069-47961","Bachman's Sparrow"
"Ocean",19418,"50-50000","Bachman's Sparrow"
"Lakes",15341,"1069-50000","Bachman's Sparrow"
"Rivers",21457,"1069-50000","Bachman's Sparrow"
"Elevation",19418,"50-50000","Bachman's Sparrow"
"Aspect",19418,"1069-50000","Bachman's Sparrow"
"Slope",19418,"50-50000","Bachman's Sparrow"
"Precipitation",20000,"1000-50000","Bachman's Sparrow"
"Developed high intensity",17380,"50-47961","Bachman's Sparrow"
"Max temperature",22000,"2000-50000","Bachman's Sparrow"
"Barren land",23496,"1069-50000","Bachman's Sparrow"
"Deciduous forest",19418,"1069-50000","Bachman's Sparrow"
"Evergreen forest",11263,"2089-43884","Bachman's Sparrow"
"Mixed forest",13302,"1069-47961","Bachman's Sparrow"
"Shrub scrub",17380,"3108-39806","Bachman's Sparrow"
"Grassland herbaceous",11263,"1069-47961","Bachman's Sparrow"
"Pasture hay",19418,"50-50000","Bachman's Sparrow"
"Developed low intensity",17380,"1069-47961","Baltimore Oriole"
"Cultivated crop",23496,"2089-50000","Baltimore Oriole"
"Woody wetland",41845,"17380-50000","Baltimore Oriole"
"Emergent wetland",43884,"13302-50000","Baltimore Oriole"
"Ocean",31651,"1069-50000","Baltimore Oriole"
"Lakes",25535,"1069-50000","Baltimore Oriole"
"Rivers",7186,"1069-50000","Baltimore Oriole"
"Elevation",19418,"50-50000","Baltimore Oriole"
"Aspect",17380,"50-50000","Baltimore Oriole"
"Slope",23496,"1069-50000","Baltimore Oriole"
"Precipitation",12000,"1000-48000","Baltimore Oriole"
"Developed high intensity",2089,"50-41845","Baltimore Oriole"
"Max temperature",7000,"1000-38000","Baltimore Oriole"
"Barren land",25535,"1069-50000","Baltimore Oriole"
"Deciduous forest",1069,"1069-1069","Baltimore Oriole"
"Evergreen forest",29612,"1069-50000","Baltimore Oriole"
"Mixed forest",41845,"23496-50000","Baltimore Oriole"
"Shrub scrub",29612,"8205-50000","Baltimore Oriole"
"Grassland herbaceous",33690,"2089-50000","Baltimore Oriole"
"Pasture hay",2089,"1069-33690","Baltimore Oriole"
"Developed low intensity",33690,"3108-50000","Band-tailed Pigeon"
"Cultivated crop",31651,"1069-50000","Band-tailed Pigeon"
"Woody wetland",17380,"50-50000","Band-tailed Pigeon"
"Emergent wetland",23496,"1069-50000","Band-tailed Pigeon"
"Ocean",15341,"50-47961","Band-tailed Pigeon"
"Lakes",13302,"50-50000","Band-tailed Pigeon"
"Rivers",25535,"50-50000","Band-tailed Pigeon"
"Elevation",27573,"2089-50000","Band-tailed Pigeon"
"Aspect",15341,"50-50000","Band-tailed Pigeon"
"Slope",10244,"1069-21457","Band-tailed Pigeon"
"Precipitation",22000,"2000-50000","Band-tailed Pigeon"
"Developed high intensity",3108,"50-39806","Band-tailed Pigeon"
"Max temperature",11000,"1000-46000","Band-tailed Pigeon"
"Barren land",27573,"2089-50000","Band-tailed Pigeon"
"Deciduous forest",23496,"1069-50000","Band-tailed Pigeon"
"Evergreen forest",19418,"50-45922","Band-tailed Pigeon"
"Mixed forest",5147,"1069-43884","Band-tailed Pigeon"
"Shrub scrub",17380,"50-50000","Band-tailed Pigeon"
"Grassland herbaceous",17380,"50-50000","Band-tailed Pigeon"
"Pasture hay",17380,"1069-50000","Band-tailed Pigeon"
"Developed low intensity",7186,"50-45922","Bank Swallow"
"Cultivated crop",5147,"1069-23496","Bank Swallow"
"Woody wetland",19418,"1069-50000","Bank Swallow"
"Emergent wetland",9224,"50-47961","Bank Swallow"
"Ocean",23496,"2089-50000","Bank Swallow"
"Lakes",2089,"50-33690","Bank Swallow"
"Rivers",10244,"1069-47961","Bank Swallow"
"Elevation",17380,"50-50000","Bank Swallow"
"Aspect",21457,"50-50000","Bank Swallow"
"Slope",6166,"50-43884","Bank Swallow"
"Precipitation",18000,"1000-50000","Bank Swallow"
"Developed high intensity",17380,"50-50000","Bank Swallow"
"Max temperature",16000,"1000-50000","Bank Swallow"
"Barren land",1069,"1069-2089","Bank Swallow"
"Deciduous forest",11263,"50-47961","Bank Swallow"
"Evergreen forest",11263,"50-50000","Bank Swallow"
"Mixed forest",19418,"50-50000","Bank Swallow"
"Shrub scrub",15341,"1069-47961","Bank Swallow"
"Grassland herbaceous",29612,"1069-50000","Bank Swallow"
"Pasture hay",21457,"1069-50000","Bank Swallow"
"Developed low intensity",1069,"1069-1069","Barn Swallow"
"Cultivated crop",1069,"1069-1069","Barn Swallow"
"Woody wetland",50,"50-50","Barn Swallow"
"Emergent wetland",1069,"1069-1069","Barn Swallow"
"Ocean",7186,"50-39806","Barn Swallow"
"Lakes",50,"50-1069","Barn Swallow"
"Rivers",3108,"50-47961","Barn Swallow"
"Elevation",21457,"1069-50000","Barn Swallow"
"Aspect",11263,"3108-35729","Barn Swallow"
"Slope",1069,"50-4128","Barn Swallow"
"Precipitation",38000,"4000-50000","Barn Swallow"
"Developed high intensity",39806,"3108-50000","Barn Swallow"
"Max temperature",28000,"3000-50000","Barn Swallow"
"Barren land",17380,"1069-50000","Barn Swallow"
"Deciduous forest",50,"50-50","Barn Swallow"
"Evergreen forest",50,"50-50","Barn Swallow"
"Mixed forest",50,"50-50","Barn Swallow"
"Shrub scrub",19418,"5147-47961","Barn Swallow"
"Grassland herbaceous",21457,"50-50000","Barn Swallow"
"Pasture hay",1069,"1069-1069","Barn Swallow"
"Developed low intensity",17380,"50-50000","Bell's Vireo"
"Cultivated crop",19418,"1069-50000","Bell's Vireo"
"Woody wetland",15341,"50-50000","Bell's Vireo"
"Emergent wetland",3108,"50-29612","Bell's Vireo"
"Ocean",25535,"2089-50000","Bell's Vireo"
"Lakes",27573,"5147-50000","Bell's Vireo"
"Rivers",25535,"1069-50000","Bell's Vireo"
"Elevation",11263,"50-47961","Bell's Vireo"
"Aspect",27573,"50-50000","Bell's Vireo"
"Slope",23496,"2089-50000","Bell's Vireo"
"Precipitation",22000,"2000-50000","Bell's Vireo"
"Developed high intensity",15341,"50-50000","Bell's Vireo"
"Max temperature",18000,"2000-48000","Bell's Vireo"
"Barren land",25535,"1069-50000","Bell's Vireo"
"Deciduous forest",15341,"1069-47961","Bell's Vireo"
"Evergreen forest",15341,"1069-50000","Bell's Vireo"
"Mixed forest",23496,"1069-50000","Bell's Vireo"
"Shrub scrub",29612,"4128-50000","Bell's Vireo"
"Grassland herbaceous",27573,"1069-50000","Bell's Vireo"
"Pasture hay",35729,"4128-50000","Bell's Vireo"
"Developed low intensity",15341,"50-50000","Belted Kingfisher"
"Cultivated crop",13302,"50-47961","Belted Kingfisher"
"Woody wetland",1069,"50-3108","Belted Kingfisher"
"Emergent wetland",50,"50-2089","Belted Kingfisher"
"Ocean",17380,"50-50000","Belted Kingfisher"
"Lakes",1069,"50-1069","Belted Kingfisher"
"Rivers",1069,"50-31651","Belted Kingfisher"
"Elevation",25535,"50-50000","Belted Kingfisher"
"Aspect",5147,"50-45922","Belted Kingfisher"
"Slope",21457,"50-50000","Belted Kingfisher"
"Precipitation",18000,"1000-50000","Belted Kingfisher"
"Developed high intensity",21457,"50-50000","Belted Kingfisher"
"Max temperature",30000,"5000-50000","Belted Kingfisher"
"Barren land",21457,"50-50000","Belted Kingfisher"
"Deciduous forest",29612,"2089-50000","Belted Kingfisher"
"Evergreen forest",15341,"1069-47961","Belted Kingfisher"
"Mixed forest",17380,"2089-47961","Belted Kingfisher"
"Shrub scrub",23496,"50-50000","Belted Kingfisher"
"Grassland herbaceous",17380,"1069-50000","Belted Kingfisher"
"Pasture hay",21457,"1069-50000","Belted Kingfisher"
"Developed low intensity",35729,"3108-50000","Bewick's Wren"
"Cultivated crop",27573,"1069-50000","Bewick's Wren"
"Woody wetland",50,"50-2089","Bewick's Wren"
"Emergent wetland",19418,"50-47961","Bewick's Wren"
"Ocean",25535,"1069-50000","Bewick's Wren"
