"species","selected_developed_low_intensity","probability_developed_low_intensity","selected_developed_high_intensity","probability_developed_high_intensity","selected_barren_land","probability_barren_land","selected_deciduous_forest","probability_deciduous_forest","selected_evergreen_forest","probability_evergreen_forest","selected_mixed_forest","probability_mixed_forest","selected_shrub_scrub","probability_shrub_scrub","selected_grassland_herbaceous","probability_grassland_herbaceous","selected_pasture_hay","probability_pasture_hay","selected_cultivated_crop","probability_cultivated_crop","selected_woody_wetland","probability_woody_wetland","selected_emergent_wetland","probability_emergent_wetland","selected_ocean","probability_ocean","selected_lakes","probability_lakes","selected_rivers","probability_rivers","selected_elevation","probability_elevation","selected_aspect","probability_aspect","selected_slope","probability_slope","selected_precipitation","probability_precipitation","selected_max_temperature","probability_max_temperature"
"American Goldfinch",8205,0.1777,50,0.205566666666667,50,0.102033333333333,1069,0.2044,1069,0.954166666666667,3108,0.0920333333333333,35728,0.0836,1069,0.0752,1069,0.9317,50000,0.0879666666666667,2088,0.351866666666667,3108,0.242766666666667,6166,0.320166666666667,5147,0.1522,50000,0.0964,50,0.203066666666667,9224,0.162633333333333,1069,0.375033333333333,50000,0.1956,3000,0.1064
"American Kestrel",1069,0.2131,50000,0.0533,50,0.0758,50,0.407233333333333,50,0.1523,2088,0.162566666666667,1069,0.2643,1069,0.4506,1069,0.890966666666667,50,0.353033333333333,1069,0.0401,1069,0.0789,50000,0.209066666666667,3108,0.0491666666666667,5147,0.0477333333333333,50000,0.0477666666666667,50000,0.0908333333333333,50000,0.0407333333333333,22000,0.0356666666666667,2000,0.0479666666666667
"American Redstart",1069,0.9178,41845,0.1271,13302,0.0745333333333333,1069,0.999966666666667,50,0.0735333333333333,23496,0.109766666666667,6166,0.0908666666666667,41845,0.0769666666666667,1069,0.4113,1069,0.870633333333333,3108,0.265233333333333,50000,0.1281,33690,0.0622,50000,0.1496,1069,0.934266666666667,50,0.1116,50000,0.0795,50,0.122933333333333,1000,0.151466666666667,50000,0.153766666666667
"American Robin",1069,0.999866666666667,50,0.99,1069,0.578233333333333,5147,0.316,47961,0.1614,50000,0.1525,2088,0.211633333333333,1069,0.998166666666667,50,0.9796,1069,0.4096,1069,0.167933333333333,5147,0.2526,11263,0.0783333333333333,50000,0.1157,50000,0.398933333333333,7185,0.0678666666666667,50000,0.2481,5147,0.1854,1000,0.267566666666667,50000,0.374233333333333
"American White Pelican",1069,0.0738333333333333,50,0.231866666666667,1069,0.0956333333333333,2088,0.248766666666667,23496,0.0638333333333333,2088,0.127766666666667,3108,0.107933333333333,50000,0.0467333333333333,50,0.0634666666666667,35728,0.0689333333333333,13302,0.0808666666666667,1069,0.7771,1069,0.0509,1069,0.997633333333333,1069,0.367066666666667,43883,0.0404666666666667,50,0.3721,50,0.739033333333333,1000,0.0363,50000,0.0668666666666667
"American Wigeon",1069,0.0558666666666667,1069,0.0363,7185,0.0379,4128,0.0384,45922,0.0363333333333333,2088,0.0381,2088,0.0546,1069,0.3211,50,0.0505333333333333,1069,0.0597,50,0.082,1069,0.0871,50000,0.0377666666666667,1069,0.0461666666666667,39806,0.0367333333333333,50000,0.0438666666666667,50000,0.0396666666666667,3108,0.0415,50000,0.0354,1000,0.0390666666666667
"Anhinga",50,0.0697,50000,0.0399,25535,0.0571,29612,0.0374,50,0.134833333333333,43883,0.0369666666666667,2088,0.134133333333333,17380,0.0450333333333333,37767,0.0446,23496,0.0432,1069,0.113,50,0.999166666666667,27574,0.0547333333333333,1069,0.484133333333333,50,0.1069,50,0.0647333333333333,50,0.154366666666667,15340,0.0378666666666667,46000,0.0344333333333333,30000,0.0373333333333333
"Anna's Hummingbird",1069,0.911666666666667,50000,0.4257,1069,0.0938666666666667,50000,0.0942,7185,0.196666666666667,27574,0.0991666666666667,25535,0.103733333333333,7185,0.0558,47961,0.0805333333333333,50,0.1244,50000,0.1887,3108,0.1981,3108,0.119866666666667,43883,0.0902,3108,0.1678,50000,0.0444666666666667,3108,0.137166666666667,1069,0.236433333333333,2000,0.0482666666666667,26000,0.0711333333333333
"Ash-throated Flycatcher",1069,0.3487,1069,0.265233333333333,13302,0.0905666666666667,50000,0.1035,11263,0.0567666666666667,43883,0.1022,50,0.835933333333333,17380,0.0613666666666667,31651,0.0484666666666667,23496,0.0500666666666667,50,0.0825,29612,0.0525,3108,0.0679333333333333,50000,0.1623,47961,0.0645333333333333,47961,0.0448666666666667,13302,0.0825666666666667,4128,0.2103,1000,0.0484,14000,0.0876333333333333
"Bachman's Sparrow",1069,0.0906,3108,0.0492666666666667,50000,0.0604333333333333,1069,0.0372333333333333,4128,0.0778666666666667,2088,0.0898666666666667,25535,0.0833,3108,0.0882,11263,0.0478333333333333,17380,0.0711333333333333,50,0.0926333333333333,11263,0.0533666666666667,27574,0.0377333333333333,7185,0.0713,23496,0.0458,23496,0.0356,19418,0.0399333333333333,50,0.0631666666666667,14000,0.0338666666666667,18000,0.037
"Baltimore Oriole",1069,0.0796333333333333,50,0.922433333333333,50000,0.0686333333333333,1069,0.991966666666667,39806,0.0661,47961,0.152033333333333,31651,0.0719666666666667,50000,0.106266666666667,1069,0.849,5147,0.0800666666666667,50000,0.2,50000,0.233733333333333,45922,0.1209,35728,0.0593666666666667,1069,0.75,15340,0.0407666666666667,4128,0.0661666666666667,50000,0.0489,1000,0.0715333333333333,1000,0.122233333333333
"Band-tailed Pigeon",47961,0.0805,1069,0.538833333333333,43883,0.0753,43883,0.0415,23496,0.0631,1069,0.550633333333333,50,0.0724,17380,0.0881,2088,0.0677333333333333,41845,0.0730333333333333,1069,0.0700333333333333,29612,0.0740333333333333,15340,0.0746333333333333,50,0.131666666666667,43883,0.0897,37767,0.0526333333333333,1069,0.0999333333333333,13302,0.1439,22000,0.0398333333333333,2000,0.0751333333333333
"Bank Swallow",50,0.199533333333333,50,0.0669333333333333,1069,0.9604,50,0.155333333333333,5147,0.0608333333333333,50,0.0925666666666667,5147,0.0615333333333333,50000,0.0589333333333333,1069,0.0529333333333333,3108,0.244366666666667,1069,0.0403666666666667,1069,0.170033333333333,23496,0.0494,50,0.415533333333333,5147,0.162533333333333,2088,0.0395,39806,0.0462666666666667,50,0.294666666666667,8000,0.0386,1000,0.0587666666666667
"Barn Swallow",1069,0.999833333333333,50000,0.2044,1069,0.0795,50,0.99,50,0.99,50,0.99,17380,0.0826,1069,0.107,1069,0.99,1069,0.99,50,0.998666666666667,1069,0.9954,6166,0.129133333333333,50,0.901766666666667,50,0.7122,50000,0.0421666666666667,10244,0.100066666666667,50,0.9425,50000,0.1272,50000,0.0655333333333333
"Bell's Vireo",1069,0.0723333333333333,1069,0.0695,50000,0.0675,3108,0.0571666666666667,5147,0.0571666666666667,37767,0.0426333333333333,37767,0.0913333333333333,50000,0.0531666666666667,50000,0.115033333333333,4128,0.0545666666666667,50,0.146333333333333,1069,0.316566666666667,31651,0.0533666666666667,27574,0.0674,43883,0.0617666666666667,7185,0.0602666666666667,50000,0.0708333333333333,17380,0.0505666666666667,24000,0.0375333333333333,14000,0.0446
"Belted Kingfisher",50,0.0935333333333333,50,0.0432333333333333,50,0.0727,33690,0.0555666666666667,13302,0.0602666666666667,6166,0.0565666666666667,50,0.0471333333333333,1069,0.0721,1069,0.05,3108,0.0764333333333333,1069,0.839633333333333,50,0.952233333333333,1069,0.103366666666667,1069,0.973866666666667,50,0.8371,50000,0.059,50,0.684966666666667,50,0.0933666666666667,1000,0.0506,48000,0.0606333333333333
"Bewick's Wren",50000,0.1591,1069,0.440233333333333,50000,0.118333333333333,50000,0.119566666666667,39806,0.0752,47961,0.0737,4128,0.0574,50000,0.0562666666666667,50000,0.163866666666667,35728,0.0734,50,0.938833333333333,13302,0.0826333333333333,2088,0.101766666666667,50,0.120766666666667,31651,0.0762666666666667,33690,0.0732333333333333,15340,0.113633333333333,11263,0.128033333333333,4000,0.0387333333333333,5000,0.148566666666667
"Black-and-white Warbler",3108,0.4047,35728,0.1014,13302,0.0561,1069,0.9308,1069,0.0717666666666667,1069,0.975,50,0.103233333333333,11263,0.0448333333333333,5147,0.189133333333333,50000,0.167066666666667,1069,0.256,31651,0.0803,47961,0.0618333333333333,8205,0.0595333333333333,1069,0.0601,23496,0.0466,27574,0.0557666666666667,37767,0.0863333333333333,30000,0.0370666666666667,1000,0.1697
"Black-bellied Whistling-Duck",39806,0.0455666666666667,39806,0.0959333333333333,47961,0.0669,50000,0.0930666666666667,21457,0.0924666666666667,29612,0.0794333333333333,50000,0.0462,29612,0.0647333333333333,27574,0.0969333333333333,4128,0.0650666666666667,17380,0.0799666666666667,10244,0.1593,23496,0.0574666666666667,2088,0.1146,50,0.8653,50,0.0395,50000,0.094,29612,0.0767666666666667,50000,0.0363,24000,0.0420666666666667
"Black-billed Cuckoo",1069,0.204733333333333,15340,0.0577666666666667,15340,0.0517333333333333,10244,0.0624666666666667,50000,0.0661,21457,0.0753666666666667,2088,0.0440666666666667,5147,0.0424666666666667,1069,0.0835,4128,0.0542333333333333,50000,0.0639666666666667,50,0.226066666666667,1069,0.0416,2088,0.1432,5147,0.0702333333333333,13302,0.0404666666666667,2088,0.0942666666666667,3108,0.0528666666666667,30000,0.0363666666666667,1000,0.0663333333333333
"Black-billed Magpie",11263,0.108933333333333,1069,0.318566666666667,50000,0.148533333333333,50,0.0661,1069,0.7491,1069,0.0577,3108,0.1178,45922,0.0706333333333333,50000,0.0888,11263,0.0975333333333333,50,0.2162,1069,0.288966666666667,15340,0.176033333333333,33690,0.0681333333333333,4128,0.207566666666667,37767,0.0802,23496,0.0557,43883,0.121266666666667,1000,0.0584,1000,0.4109
"Black-capped Chickadee",1069,0.9971,50,0.9258,50,0.9898,50,0.673466666666667,2088,0.366333333333333,1069,0.844866666666667,5147,0.0947333333333333,1069,0.218366666666667,4128,0.0804333333333333,1069,0.633966666666667,2088,0.170966666666667,50000,0.228133333333333,50000,0.131,25535,0.0769333333333333,50,0.156533333333333,50,0.400133333333333,50000,0.1791,50,0.2503,1000,0.0890333333333333,1000,0.0972666666666667
"Black-chinned Hummingbird",1069,0.242833333333333,50,0.4689,45922,0.0437,1069,0.1388,1069,0.863366666666667,47961,0.1256,50000,0.133266666666667,50000,0.0995,9224,0.133866666666667,50000,0.0639,1069,0.1365,43883,0.0612666666666667,2088,0.213233333333333,50,0.6773,47961,0.1232,50,0.442666666666667,3108,0.0537,1069,0.2985,48000,0.0595,1000,0.2463
"Black-crested Titmouse",43883,0.0416333333333333,50,0.179433333333333,9224,0.0785333333333333,6166,0.0845666666666667,1069,0.0775333333333333,1069,0.1642,9224,0.0661,50000,0.0847333333333333,1069,0.0443666666666667,50,0.1499,50000,0.0680333333333333,17380,0.0522,31651,0.0496666666666667,1069,0.239666666666667,50,0.0601333333333333,17380,0.0353333333333333,27574,0.1308,50,0.432,50000,0.0606333333333333,1000,0.0641333333333333
"Black-crowned Night Heron",6166,0.0923,6166,0.0398333333333333,27574,0.0442,4128,0.0557666666666667,6166,0.0604333333333333,50000,0.0408,5147,0.0719333333333333,50,0.0599333333333333,47961,0.0431333333333333,45922,0.0374,11263,0.1083,1069,0.893866666666667,1069,0.1262,1069,0.176333333333333,41845,0.0409333333333333,11263,0.0380666666666667,2088,0.131566666666667,1069,0.180666666666667,1000,0.0352666666666667,3000,0.0380333333333333
"Black-headed Grosbeak",2088,0.427166666666667,50,0.883433333333333,2088,0.1219,1069,0.1032,2088,0.4763,4128,0.229966666666667,2088,0.118266666666667,43883,0.0740666666666667,21457,0.118933333333333,50000,0.0555666666666667,1069,0.507833333333333,1069,0.0998333333333333,50,0.0663,15340,0.0997666666666667,27574,0.114566666666667,41845,0.0719666666666667,50,0.470566666666667,1069,0.441366666666667,11000,0.0369666666666667,5000,0.1208
"Black-necked Stilt",1069,0.6219,50,0.0790333333333333,50000,0.0593666666666667,1069,0.0637666666666667,1069,0.0692666666666667,2088,0.0609,1069,0.0407666666666667,13302,0.0491,4128,0.0462333333333333,1069,0.467933333333333,50,0.128166666666667,1069,0.958733333333333,43883,0.0703333333333333,2088,0.549666666666667,17380,0.110933333333333,50000,0.0392666666666667,1069,0.0604666666666667,3108,0.147566666666667,11000,0.0367333333333333,48000,0.0404333333333333
"Black-tailed Gnatcatcher",35728,0.0648666666666667,3108,0.0646666666666667,1069,0.0881333333333333,33690,0.0397666666666667,9224,0.0425333333333333,47961,0.0409666666666667,1069,0.303766666666667,15340,0.0445666666666667,50,0.138166666666667,50,0.129566666666667,31651,0.0717333333333333,2088,0.135666666666667,17380,0.0364333333333333,1069,0.114366666666667,50,0.0731333333333333,3108,0.04,50000,0.115566666666667,4128,0.0740666666666667,46000,0.0361,50000,0.0864333333333333
"Black-throated Blue Warbler",1069,0.480466666666667,47961,0.0467666666666667,23496,0.0816333333333333,1069,0.4522,50000,0.102833333333333,1069,0.700733333333333,50,0.289666666666667,35728,0.0560666666666667,50,0.1714,3108,0.0529,4128,0.0435,1069,0.0533,27574,0.0412666666666667,4128,0.1555,27574,0.0478666666666667,25535,0.0384333333333333,1069,0.158433333333333,4128,0.0578,26000,0.0437333333333333,1000,0.276833333333333
"Black-throated Gray Warbler",2088,0.1395,5147,0.0886666666666667,11263,0.0463,1069,0.0818666666666667,1069,0.234366666666667,50,0.1403,50000,0.0582333333333333,10244,0.0865666666666667,50,0.0554666666666667,10244,0.0405333333333333,50000,0.136333333333333,45922,0.0465,27574,0.0632,31651,0.0428,21457,0.045,15340,0.0418,3108,0.0642666666666667,5147,0.1773,40000,0.0377333333333333,1000,0.103266666666667
"Black-throated Green Warbler",2088,0.483433333333333,50000,0.1113,10244,0.0808333333333333,50,0.549366666666667,1069,0.376166666666667,1069,0.8974,1069,0.0845333333333333,33690,0.0649666666666667,1069,0.551366666666667,1069,0.164866666666667,15340,0.0719,50,0.0979,50000,0.1458,35728,0.0654,37767,0.0601333333333333,50000,0.093,35728,0.0442,1069,0.0659333333333333,46000,0.0419,1000,0.1817
"Black-throated Sparrow",1069,0.0770333333333333,50,0.0957,2088,0.0843333333333333,23496,0.0419333333333333,2088,0.0708666666666667,3108,0.0420666666666667,1069,0.436933333333333,23496,0.0514333333333333,10244,0.0397,27574,0.0471,31651,0.0689666666666667,50,0.2154,3108,0.0483333333333333,47961,0.0432333333333333,47961,0.0487333333333333,11263,0.0560666666666667,50,0.0899,7185,0.0920666666666667,1000,0.0481666666666667,8000,0.0654666666666667
"Black Phoebe",33690,0.0463333333333333,50,0.132,21457,0.0619,50000,0.1187,50,0.303733333333333,50000,0.0553333333333333,50,0.8381,23496,0.116066666666667,1069,0.0489,11263,0.0502,1069,0.0923666666666667,13302,0.1371,50000,0.077,4128,0.0838,15340,0.0676333333333333,50,0.136533333333333,50000,0.163933333333333,50,0.124666666666667,1000,0.0469,20000,0.0549
"Black Skimmer",1069,0.0579333333333333,15340,0.0573,2088,0.113366666666667,10244,0.0442,23496,0.0397,11263,0.0485333333333333,2088,0.0379,50,0.0664666666666667,50000,0.0478666666666667,1069,0.0444666666666667,13302,0.0641333333333333,1069,0.210466666666667,1069,0.191133333333333,31651,0.0716333333333333,1069,0.0552333333333333,50,0.054,1069,0.124066666666667,13302,0.0454,36000,0.0354666666666667,48000,0.0396666666666667
"Black Tern",5147,0.0797,4128,0.0417333333333333,1069,0.110266666666667,50,0.1196,47961,0.0404,8205,0.0399,1069,0.0415,2088,0.132533333333333,15340,0.0890666666666667,6166,0.0941,43883,0.0442333333333333,1069,0.9968,21457,0.0821666666666667,3108,0.0740666666666667,15340,0.065,23496,0.0368,1069,0.0447333333333333,50,0.0459666666666667,3000,0.0354666666666667,3000,0.0367666666666667
"Black Vulture",50000,0.0743,50,0.0593,35728,0.0899333333333333,1069,0.0754333333333333,50,0.196266666666667,3108,0.0577,50000,0.2452,2088,0.0742333333333333,3108,0.116166666666667,39806,0.0547,1069,0.218166666666667,7185,0.0903333333333333,39806,0.0409,50,0.953566666666667,37767,0.0898333333333333,50,0.0640333333333333,25535,0.0687333333333333,25535,0.0385,48000,0.0441333333333333,50000,0.0812666666666667
"Blackburnian Warbler",3108,0.1882,11263,0.0613333333333333,50,0.1455,1069,0.114066666666667,50,0.998966666666667,50,0.1826,1069,0.0952666666666667,50,0.0659333333333333,1069,0.324366666666667,1069,0.0889333333333333,5147,0.0667666666666667,50,0.0842,15340,0.063,37767,0.0483666666666667,11263,0.0469,50,0.0486,50,0.103766666666667,2088,0.0378333333333333,1000,0.0378333333333333,1000,0.207666666666667
"Blue-gray Gnatcatcher",1069,0.989333333333333,2088,0.340433333333333,50000,0.0929666666666667,50,0.9636,7185,0.2896,50000,0.0702333333333333,17380,0.0458666666666667,33690,0.0579,2088,0.163133333333333,1069,0.583633333333333,1069,0.6972,2088,0.0546666666666667,50000,0.0861333333333333,45922,0.0642666666666667,50000,0.0573666666666667,45922,0.0902,5147,0.1683,1069,0.410966666666667,3000,0.038,50000,0.3222
"Blue-headed Vireo",1069,0.216966666666667,50000,0.0469,13302,0.0545333333333333,2088,0.0897333333333333,1069,0.688633333333333,1069,0.344766666666667,10244,0.104966666666667,15340,0.0606,1069,0.938366666666667,50000,0.0793,3108,0.108133333333333,50000,0.0637,1069,0.0692333333333333,4128,0.0963,50000,0.0586,2088,0.0493666666666667,2088,0.1071,43883,0.0696333333333333,50000,0.041,1000,0.340833333333333
"Blue-winged Teal",1069,0.564466666666667,1069,0.0906333333333333,5147,0.0598666666666667,4128,0.105766666666667,1069,0.062,2088,0.0855333333333333,50000,0.0457666666666667,1069,0.0541666666666667,50000,0.0658666666666667,1069,0.188666666666667,9224,0.0512333333333333,50,0.9851,50000,0.0360666666666667,50,0.3438,1069,0.0618333333333333,10244,0.0399666666666667,33690,0.0430333333333333,8205,0.0463666666666667,4000,0.0354666666666667,4000,0.0395
"Blue-winged Warbler",1069,0.3907,4128,0.0573666666666667,1069,0.0499666666666667,1069,0.9725,3108,0.0407666666666667,1069,0.0746,2088,0.127833333333333,50000,0.0596,8205,0.0464333333333333,3108,0.1352,1069,0.1673,17380,0.1005,1069,0.0592666666666667,1069,0.0382,50000,0.1716,15340,0.0369333333333333,33690,0.0531666666666667,1069,0.102266666666667,38000,0.0363,50000,0.0559333333333333
"Blue Grosbeak",1069,0.9753,39806,0.0899666666666667,23496,0.0461333333333333,50,0.1211,11263,0.118433333333333,13302,0.0548333333333333,2088,0.0949666666666667,50,0.937466666666667,50,0.999633333333333,50,0.7839,1069,0.6385,19418,0.0786666666666667,50,0.0696666666666667,50000,0.0496333333333333,2088,0.0549333333333333,1069,0.0397333333333333,43883,0.0793,1069,0.368566666666667,48000,0.0379,1000,0.0748333333333333
"Blue Jay",1069,0.999933333333333,50,0.99,50,0.475333333333333,1069,0.832166666666667,1069,0.963733333333333,50,0.999933333333333,6166,0.1514,1069,0.244333333333333,9224,0.0980666666666667,27574,0.0788666666666667,50000,0.184633333333333,50,0.580733333333333,1069,0.401133333333333,43883,0.0887,50000,0.0892,50,0.477833333333333,37767,0.0882333333333333,2088,0.4565,50000,0.0416333333333333,38000,0.0440666666666667
"Boat-tailed Grackle",50,0.177266666666667,50,0.6448,5147,0.0756,4128,0.0627333333333333,50,0.371766666666667,2088,0.084,1069,0.0534333333333333,11263,0.094,50,0.1501,2088,0.0650666666666667,1069,0.2254,1069,0.678166666666667,23496,0.134,23496,0.0910333333333333,47961,0.0717,50000,0.0633,1069,0.669833333333333,6166,0.0439666666666667,40000,0.0419333333333333,50000,0.0606333333333333
"Brewer's Blackbird",1069,0.510466666666667,50000,0.1182,8205,0.140133333333333,1069,0.140133333333333,50,0.9628,39806,0.0426,1069,0.307866666666667,37767,0.1197,1069,0.197333333333333,6166,0.1261,23496,0.0520333333333333,4128,0.176966666666667,37767,0.0910333333333333,10244,0.0558,5147,0.0533,29612,0.0538666666666667,19418,0.0545,1069,0.4577,1000,0.0525,30000,0.0517333333333333
"Brewer's Sparrow",1069,0.337566666666667,33690,0.0551333333333333,13302,0.0983,37767,0.0711333333333333,17380,0.0921,1069,0.0848333333333333,2088,0.541733333333333,1069,0.211,2088,0.085,50,0.0630333333333333,3108,0.101066666666667,1069,0.0538333333333333,50,0.0528,47961,0.0453333333333333,47961,0.0522666666666667,50,0.0834666666666667,50,0.0758666666666667,1069,0.342266666666667,4000,0.0405,1000,0.121933333333333
"Broad-billed Hummingbird",50,0.167766666666667,50,0.0446333333333333,2088,0.116666666666667,23496,0.0386,13302,0.1755,7185,0.1905,21457,0.146366666666667,19418,0.0474333333333333,9224,0.1242,50000,0.0436666666666667,33690,0.0934333333333333,4128,0.0550666666666667,31651,0.0342,35728,0.0425,10244,0.0338333333333333,29612,0.0506666666666667,50,0.219166666666667,45922,0.0620666666666667,50000,0.0421333333333333,1000,0.0413
"Broad-tailed Hummingbird",50000,0.383833333333333,50000,0.0736,50,0.132266666666667,50000,0.0682333333333333,1069,0.695966666666667,37767,0.0615333333333333,10244,0.192233333333333,50000,0.1435,27574,0.150266666666667,4128,0.115733333333333,25535,0.1371,8205,0.0914333333333333,21457,0.0730333333333333,50000,0.268766666666667,1069,0.107133333333333,50,0.350933333333333,27574,0.0574,1069,0.491533333333333,10000,0.0439666666666667,1000,0.2342
"Broad-winged Hawk",17380,0.0472333333333333,1069,0.0716333333333333,29612,0.0428333333333333,1069,0.619066666666667,5147,0.0404666666666667,1069,0.0982666666666667,50,0.0397666666666667,1069,0.0717,33690,0.0410666666666667,2088,0.0803333333333333,3108,0.0726333333333333,13302,0.0475666666666667,1069,0.0412333333333333,15340,0.0455333333333333,50000,0.0561,2088,0.0406,43883,0.04,3108,0.0596666666666667,26000,0.0354666666666667,26000,0.0371666666666667
"Bronzed Cowbird",47961,0.0839666666666667,50000,0.0524333333333333,50,0.1557,3108,0.0501666666666667,25535,0.0689,50,0.0863666666666667,50000,0.0579666666666667,21457,0.0641333333333333,2088,0.0605666666666667,5147,0.0797666666666667,50000,0.0595666666666667,43883,0.0784333333333333,50000,0.0446333333333333,50000,0.0747666666666667,50,0.274733333333333,47961,0.0379333333333333,23496,0.0546333333333333,41845,0.0432,1000,0.0347666666666667,48000,0.0705
"Brown-crested Flycatcher",41845,0.0882666666666667,45922,0.0706333333333333,21457,0.0491666666666667,45922,0.0643666666666667,50,0.0823666666666667,21457,0.0712,2088,0.059,50,0.194433333333333,1069,0.427333333333333,35728,0.0522333333333333,1069,0.435,29612,0.0531333333333333,11263,0.0566333333333333,29612,0.0625,6166,0.121533333333333,50,0.0527,39806,0.133166666666667,17380,0.0561666666666667,28000,0.0404,1000,0.0433333333333333
